"date","place"
"2024-12-31","LAX"
"2024-12-31","LIH"
"2025-01-01","Lihue, HI"
"2025-01-05","Kailua-Kona, HI"
"2025-01-12","Hilo, HI"
"2025-01-12","Honolulu, HI"
"2025-01-29","Honolulu, HI"
"2025-01-29","LAX"
"2025-02-14","Stevenson Ranch, CA"
"2025-02-15","Tucson, AZ"
"2025-02-16","Junction, TX"
"2025-02-17","Kyle, TX"
"2025-02-17","Buda, TX"
"2025-02-18","Lago Vista, TX"
"2025-04-18","New Orleans, LA"
"2025-04-20","Kissimmee, FL"
"2025-05-03","Gainesville, FL"
"2025-05-04","Huntsville, AL"
"2025-05-05","Atlanta, GA"
"2025-05-10","Pigeon Forge, TN"
"2025-05-10","Charlotte, NC"
"2025-05-11","Raleigh, NC"
"2025-05-23","Fredericksburg, VA"
"2025-05-24","Monmouth Junction, NJ"
"2025-05-25","Long Beach, NY"
"2025-05-25","West Haven, CT"
"2025-06-01","Rossford, OH"
"2025-06-02","Munster, IN"
"2025-06-02","Niagara Falls, NY"
"2025-06-03","Chicago, IL"
"2025-06-05","Madison, WI"
"2025-06-05","Menomonie, WI"
"2025-06-06","Williston, ND"
"2025-06-06","Dickinson, ND"
"2025-06-07","Brooks, Canada"
"2025-06-08","Canmore, AB, Canada"
"2025-06-09","Swift Current, SK, Canada"
"2025-06-10","Banff, AB, Canada"
"2025-06-12","Moraine Lake & Lake Louise, AB"
"2025-06-13","Skywalk, Canada"
"2025-06-28","Banff, AB"
"2025-07-05","Greenfield, MT"
"2025-07-05","Calgary, Canada"
"2025-07-06","Bozeman, MT"
"2025-07-13","Cody, WY"
"2025-07-14","Rapid City, SD"
"2025-07-19","Iowa City, IA"
"2025-07-20","Chicago, IL"
"2025-08-23","Lansing, MI"
"2025-08-24","London, ON, Canada"
"2025-08-25","Oshawa, ON, Canada"
"2025-08-30","Gananoque, ON, Canada"
"2025-08-31","Victoriaville, QC"
"2025-08-31","Quebec City, QC"
"2025-09-01","Burlington, VT"
"2025-09-02","Killington, VT"
"2025-09-27","Lincoln, NH"
"2025-09-29","Killington, VT"
"2025-10-10","Ithaca, NY"
"2025-10-10","Schenectady, NY"
"2025-10-11","Wauseon, OH"
"2025-10-12","Chicago, IL"
"2025-10-18","York, NE"
"2025-10-19","Golden, CO"
"2025-10-20","Panguitch, UT"
"2025-10-27","Bryce Canyon"
"2025-10-31","Springdale, UT"
"2025-11-02","Long Beach, CA"
